Date,Gold_21K
2013-03-27,307.117661
2013-03-28,305.70508
2013-03-29,305.715416
2013-03-30,305.659108
2013-03-31,305.631786
2013-04-01,305.850512
2013-04-02,302.057921
2013-04-03,298.529789
2013-04-04,297.692532
2013-04-05,304.72135
2013-04-06,304.784067
2013-04-07,304.488778
2013-04-08,302.761693
2013-04-09,305.362178
2013-04-10,300.447446
2013-04-11,301.860356
2013-04-12,285.969137
2013-04-13,286.023444
2013-04-14,286.000847
2013-04-15,261.663278
2013-04-16,265.3079
2013-04-17,267.038448
2013-04-18,270.209499
2013-04-19,272.761904
2013-04-20,272.824962
2013-04-21,272.923975
2013-04-22,275.686449
2013-04-23,274.383087
2013-04-24,276.321298
2013-04-25,279.897207
2013-04-26,279.13261
2013-04-27,279.080741
2013-04-28,278.486921
2013-04-29,280.920324
2013-04-30,280.56913
2013-05-01,279.120758
2013-05-02,280.370911
2013-05-03,280.44807
2013-05-04,280.561485
2013-05-05,280.541558
2013-05-06,280.607642
2013-05-07,278.999468
2013-05-08,281.064743
2013-05-09,279.840137
2013-05-10,279.011115
2013-05-11,279.060074
2013-05-12,279.241743
2013-05-13,277.850441
2013-05-14,277.493982
2013-05-15,274.063175
2013-05-16,273.982699
2013-05-17,271.363765
2013-05-18,271.33182
2013-05-19,271.55582
2013-05-20,275.129771
2013-05-21,272.832569
2013-05-22,272.465515
2013-05-23,274.715073
2013-05-24,274.322277
2013-05-25,274.322159
2013-05-26,274.538841
2013-05-27,275.22961
2013-05-28,273.561108
2013-05-29,275.50247
2013-05-30,276.43153
2013-05-31,274.405178
2013-06-01,274.407182
2013-06-02,274.423526
2013-06-03,276.355782
2013-06-04,275.988858
2013-06-05,276.059424
2013-06-06,276.922559
2013-06-07,274.322453
2013-06-08,274.333674
2013-06-09,274.685649
2013-06-10,274.878577
2013-06-11,273.60399
2013-06-12,274.314959
2013-06-13,274.745935
2013-06-14,275.168163
2013-06-15,275.17973
2013-06-16,274.983756
2013-06-17,274.347838
2013-06-18,272.970355
2013-06-19,271.131467
2013-06-20,277.026105
2013-06-21,277.174911
2013-06-22,277.199363
2013-06-23,277.516403
2013-06-24,277.426668
2013-06-25,277.43652
2013-06-26,277.449577
2013-06-27,277.6607
2013-06-28,277.764441
2013-06-29,243.845009
2013-06-30,245.039362
2013-07-01,247.985899
2013-07-02,245.937961
2013-07-03,247.949791
2013-07-04,246.83156
2013-07-05,242.007979
2013-07-06,242.006533
2013-07-07,242.719911
2013-07-08,244.188986
2013-07-09,247.297383
2013-07-10,252.841078
2013-07-11,253.533379
2013-07-12,253.102425
2013-07-13,253.063916
2013-07-14,254.543996
2013-07-15,253.077801
2013-07-16,254.123992
2013-07-17,251.596235
2013-07-18,253.211153
2013-07-19,255.49936
2013-07-20,255.500673
2013-07-21,258.530069
2013-07-22,263.264836
2013-07-23,264.740887
2013-07-24,260.223947
2013-07-25,262.974531
2013-07-26,262.584252
2013-07-27,262.593929
2013-07-28,262.846118
2013-07-29,261.195895
2013-07-30,261.221527
2013-07-31,261.216565
2013-08-01,256.532316
2013-08-02,258.176393
2013-08-03,258.144644
2013-08-04,258.028907
2013-08-05,256.54673
2013-08-06,252.293853
2013-08-07,252.773383
2013-08-08,258.323613
2013-08-09,258.265761
2013-08-10,258.257
2013-08-11,260.3305
2013-08-12,262.882507
2013-08-13,260.088291
2013-08-14,263.205503
2013-08-15,271.227583
2013-08-16,272.359983
2013-08-17,272.36497
2013-08-18,272.410206
2013-08-19,271.190721
2013-08-20,271.538017
2013-08-21,271.192196
2013-08-22,272.621895
2013-08-23,275.274289
2013-08-24,275.278071
2013-08-25,275.532653
2013-08-26,275.953971
2013-08-27,277.301532
2013-08-28,277.519589
2013-08-29,276.420551
2013-08-30,274.857578
2013-08-31,274.838575
2013-09-01,273.178427
2013-09-02,274.54442
2013-09-03,277.232834
2013-09-04,272.864953
2013-09-05,268.278302
2013-09-06,270.977502
2013-09-07,270.977502
2013-09-08,270.271906
2013-09-09,270.445049
2013-09-10,267.64467
2013-09-11,267.592443
2013-09-12,256.925613
2013-09-13,257.254536
2013-09-14,257.271437
2013-09-15,258.099493
2013-09-16,254.494965
2013-09-17,253.77856
2013-09-18,266.769534
2013-09-19,267.876098
2013-09-20,262.028642
2013-09-21,262.035181
2013-09-22,262.006061
2013-09-23,256.507063
2013-09-24,256.833171
2013-09-25,258.534702
2013-09-26,256.483248
2013-09-27,258.862899
2013-09-28,258.862936
2013-09-29,259.355871
2013-09-30,257.788116
2013-10-01,250.195671
2013-10-02,255.118309
2013-10-03,255.098284
2013-10-04,254.02434
2013-10-05,254.02751
2013-10-06,254.512796
2013-10-07,256.541446
2013-10-08,255.74728
2013-10-09,253.071994
2013-10-10,249.526794
