Source,Item,File,Category,Status
GoldRate24,Egypt Gold 21K,GoldRate24_Egypt_21K.csv,TARGET,SUCCESS
Yahoo Finance,GC=F,Gold_World.csv,CORE,SUCCESS
Yahoo Finance,EGP=X,USD_EGP.csv,CORE,SUCCESS
Yahoo Finance,DX-Y.NYB,US_Dollar_Index_DXY.csv,STRONG,SUCCESS
Yahoo Finance,CL=F,WTI_Oil.csv,STRONG,SUCCESS
Yahoo Finance,^GSPC,SP500.csv,EXPERIMENTAL,SUCCESS
Yahoo Finance,^VIX,VIX.csv,EXPERIMENTAL,SUCCESS
Yahoo Finance,SI=F,Silver.csv,EXPERIMENTAL,SUCCESS
FRED,DGS10,US_10Y_Treasury_Yield.csv,STRONG,SUCCESS
FRED,USEPUINDXD,US_Economic_Policy_Uncertainty_Daily.csv,EVENTS,SUCCESS
FRED,GEPUCURRENT,Global_Economic_Policy_Uncertainty_Monthly.csv,EVENTS,SUCCESS
Matteo Iacoviello (FRB),GPR Daily Index,Geopolitical_Risk_Index_Daily.csv,EVENTS,SUCCESS
